"Time","docker cpu usage","powertop measure","smart plug measure","timestamp"
2022-02-22 10:29:20,496,54.5,72.1,1645522159
2022-02-22 10:29:25,499,54.5,72.1,1645522165
2022-02-22 10:29:30,497,54.5,72.1,1645522169
2022-02-22 10:29:35,497,56.2,54.2,1645522175
2022-02-22 10:29:40,498,56.2,54.2,1645522179
2022-02-22 10:29:45,496,56.2,54.2,1645522185
2022-02-22 10:29:50,498,50.3,70.0,1645522189
2022-02-22 10:29:55,498,50.3,70.0,1645522195
2022-02-22 10:30:00,497,51.3,70.0,1645522199
2022-02-22 10:30:05,496,51.3,66.4,1645522205
2022-02-22 10:30:10,499,51.3,66.4,1645522209
2022-02-22 10:30:15,499,54,66.4,1645522215
2022-02-22 10:30:20,484,54,66.4,1645522219
2022-02-22 10:30:25,495,54,73.6,1645522225
2022-02-22 10:30:30,497,58.3,73.6,1645522229
2022-02-22 10:30:35,497,58.3,73.6,1645522235
2022-02-22 10:30:40,500,58.3,73.5,1645522239
2022-02-22 10:30:45,500,56.9,73.5,1645522245
2022-02-22 10:30:50,498,56.9,73.5,1645522249
2022-02-22 10:30:55,498,58.6,73.7,1645522255
2022-02-22 10:31:00,499,58.6,73.7,1645522259
2022-02-22 10:31:05,99.9,58.6,73.7,1645522265
2022-02-22 10:31:10,99.8,16.9,32.0,1645522269
2022-02-22 10:31:15,99.8,16.9,32.0,1645522275
2022-02-22 10:31:20,99.9,16.9,32.0,1645522279
2022-02-22 10:31:25,100,15.5,30.5,1645522285
2022-02-22 10:31:30,100,15.5,30.5,1645522289
2022-02-22 10:31:35,100,18.8,30.5,1645522295
2022-02-22 10:31:40,100,18.8,30.5,1645522299
2022-02-22 10:31:45,501,18.8,44.7,1645522305
2022-02-22 10:31:50,502,28.1,44.7,1645522309
2022-02-22 10:31:55,502,28.1,44.7,1645522315
2022-02-22 10:32:00,500,28.1,49.8,1645522319
2022-02-22 10:32:05,496,33.7,49.8,1645522325
2022-02-22 10:32:10,500,33.7,49.8,1645522329
2022-02-22 10:32:15,500,33.7,51.8,1645522335
2022-02-22 10:32:20,498,33,51.8,1645522339
2022-02-22 10:32:25,497,33,51.8,1645522345
2022-02-22 10:32:30,488,33,78.6,1645522349
2022-02-22 10:32:35,488,50.6,78.6,1645522355
2022-02-22 10:32:40,489,50.6,78.6,1645522359
2022-02-22 10:32:45,487,62.4,76.4,1645522365
2022-02-22 10:32:50,478,62.4,76.4,1645522369
2022-02-22 10:32:55,478,62.4,76.4,1645522375
2022-02-22 10:33:00,486,65.3,76.4,1645522379
2022-02-22 10:33:05,477,65.3,71.6,1645522385
2022-02-22 10:33:10,0,65.3,71.6,1645522389
2022-02-22 10:33:15,0,36.3,71.6,1645522395
2022-02-22 10:33:20,0,36.3,10.8,1645522399
2022-02-22 10:33:25,0,1.34,10.8,1645522405
2022-02-22 10:33:30,0,1.34,10.8,1645522409
2022-02-22 10:33:35,0,1.34,10.8,1645522415
2022-02-22 10:33:40,0,1.69,10.8,1645522419
2022-02-22 10:33:45,0,1.69,10.8,1645522425
2022-02-22 10:33:50,0,1.69,10.4,1645522429
2022-02-22 10:33:55,0,1.92,10.4,1645522435
2022-02-22 10:34:00,0,1.92,10.4,1645522439
2022-02-22 10:34:05,0,1.66,10.4,1645522445
2022-02-22 10:34:10,0,1.66,10.4,1645522449
2022-02-22 10:34:15,0,1.66,10.4,1645522455
2022-02-22 10:34:20,0,1.73,10.4,1645522459
2022-02-22 10:34:25,0,1.73,10.4,1645522465
2022-02-22 10:34:30,0,1.73,10.4,1645522469
2022-02-22 10:34:35,0,1.46,10.4,1645522475
2022-02-22 10:34:40,588,1.46,10.4,1645522479
2022-02-22 10:34:45,588,34.6,10.4,1645522485
2022-02-22 10:34:50,601,34.6,10.4,1645522489
