Server-Crownlabs-performance,Server-Crownlabs-consumption,Server-Crownlabs-consumption (correction),Server-Polycube-performance,Server-Polycube-consumption,Raspberry-performance,Raspberry-consumption,Desktop-performance,Desktop-consumption,Matebook-performance,Matebook-consumption,Laptop-Fulvio-performance,Laptop-Fulvio-consumption
59771.2226001431,550,500,nan,nan,23076.2175406187,141.75,nan,nan,nan,nan,nan,nan
59878.6216480144,547,497,nan,nan,23329.0054833618,145.4,nan,nan,nan,nan,nan,nan
59980.4185813635,545,495,nan,nan,23568.5513410408,146.01,nan,nan,nan,nan,nan,nan
60029.7379107636,549,499,nan,nan,23795.0090660604,146.71,nan,nan,nan,nan,nan,nan
60254.7462772538,543,493,nan,nan,23999.2662422435,147.42,nan,nan,nan,nan,nan,nan
60327.5991858738,536,486,nan,nan,24252.0541849865,151.07,nan,nan,nan,nan,nan,nan
60465.5588677409,551,501,nan,nan,24491.6000426655,151.68,nan,nan,nan,nan,nan,nan
60497.4419481673,544,494,nan,nan,24718.0577676851,152.38,nan,nan,nan,nan,nan,nan
60514.0016331826,547,497,nan,nan,24922.3149438682,153.09,nan,nan,nan,nan,nan,nan
60454.2446617499,548,498,nan,nan,25175.1028866113,156.74,nan,nan,nan,nan,nan,nan
60717.4226672038,551,501,nan,nan,25414.6487442903,157.35,nan,nan,nan,nan,nan,nan
60762.3967984643,545,495,nan,nan,25641.1064693099,158.05,nan,nan,nan,nan,nan,nan
60853.9106505277,546,496,nan,nan,25845.363645493,158.76,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,26098.151588236,162.41,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,26337.697445915,163.02,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,26564.1551709346,163.72,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,26768.4123471177,164.43,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,27021.2002898608,168.08,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,27260.7461475398,168.69,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,27487.2038725594,169.39,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,27691.4610487425,170.1,nan,nan,nan,nan,nan,nan
